problem_instance,input_sha256,n_configurations,n_alpha_strings,n_beta_strings,candidate,backend,count,wall_minimum_s,wall_q1_s,wall_median_s,wall_q3_s,wall_iqr_s,wall_maximum_s,solver_median_s,oracle_candidate,median_cpu_over_gpu,record_ids
fe4s4-prefix-0032,f103fd51dd08c7654df2db110936ac379bd103b817b518083fa50ae85cc66390,1024,32,32,amd-cpu-16,cpu,5,1.4105689610005356,1.410908539997763,1.4109253030037507,1.411648305998824,0.0007397660010610707,1.4120800509990659,0.264554,amd-cpu-16,0.8663865035819038,"[""c81319dfb3791ad00d4d559c0d9b09dd424a602ce7c629f8e52dfc91e0ec6e68"", ""107fbe8a96874d48fbf6cf07d9f91c5add6ca9602bfddb399a2fe261c997a3d8"", ""a91ca983f96b931e6b837c868a483aa1696fc238577613fbe51f281e3b3b7ab9"", ""2d7af29017a3bd241e7b73c2504be82e8419e9e1124daafb0b0d3aa37ddfa1fa"", ""2682ab52f394aa3332c4ce384f0eeb099e5222b30aa6512a2750213e61c8f025""]"
fe4s4-prefix-0032,f103fd51dd08c7654df2db110936ac379bd103b817b518083fa50ae85cc66390,1024,32,32,amd-l4-default,gpu,5,1.566750982994563,1.6251503250023234,1.628517176999594,1.6338358529974357,0.008685527995112352,1.6364258149988018,0.153647,amd-cpu-16,0.8663865035819038,"[""6bd677d64c28fdab2b1199ebdc0d85cb655d6e1a91ffbc0a77298bf5e9e4fee8"", ""82ebcc264c25541f0a13ba78c4e1ba3fd63fc78df7334b1c1fce1fe53d5cefaa"", ""8087a3105880ca163d7ebda8fa4893be8dcb3f4c77b1cd7dd9639553bd50f829"", ""c847995688ac6961210aae0e1e5ee7eebc93301404e744ca672adbfebfdfd029"", ""c0fe60a66c19a581b8d1b3223116c9a54071125fbce6a427bd926fc9ab747496""]"
fe4s4-prefix-0055,9e7200c65761a843b0d95d70dc1680653805434675077bb83579fcfa0852bba7,3025,55,55,amd-cpu-16,cpu,5,2.4149097339977743,2.4161540099958074,2.416199424995284,2.41789160999906,0.0017376000032527372,2.4183522559978883,1.237579,amd-l4-default,1.2579793903679424,"[""e42646e72c03542753e41340f3aec8e5eb26c6326da06afbd3aa7faa69026a11"", ""b1fb7cbf40909cb1b119bcb1a118af06caa1af2d6fb6535a8fd5065b151b2de5"", ""49bdc6528a387317d71ad181d2781bc5da2c6c32ae7424737064f4bda960c4e0"", ""2a3761bfb0e7d1da032304ab608bcd13e898bade945269c386049b8db2764dd4"", ""364c2dd8099b484e6fdeab99d39197da5051c4918f40a31faf02b059eb3e9699""]"
fe4s4-prefix-0055,9e7200c65761a843b0d95d70dc1680653805434675077bb83579fcfa0852bba7,3025,55,55,amd-l4-default,gpu,5,1.9190878600056749,1.9198227190063335,1.9206987360012135,1.9225722430055612,0.0027495239992276765,1.9298950240045087,0.447076,amd-l4-default,1.2579793903679424,"[""26e34d766211ea7fffb19b527451db1d4e0e2fec45fc802a620584d36f0c94c5"", ""bb355684dbac68a98351d6f79de503a41f210d047d6cf0446a5696e13a6542bf"", ""ab0ae4126a47916620b0128fe8b3a0459b49dae9dfac87301427564b7c24744c"", ""3e678c24f0557fc0944c95780b793b32d2ad68a8ee3d842fb1db37ad16ea494a"", ""3242dcd76554d7c4a5771d59336b4ae5566bc9918edcada17184593dca344522""]"
fe4s4-prefix-0100,8388d0e2a075126004890ad88c3680722226870440793d7d97242885ebfc7eda,10000,100,100,amd-cpu-16,cpu,3,5.632598222000524,5.633254864998889,5.633911507997254,5.634589095498086,0.0013342304991965648,5.6352666829989175,4.369314999999999,amd-l4-default,1.9834842404051707,"[""196b3131f5336aad7cd9c4ee5e7f3d8f515890d6f6134e6d7111bbc3a63edf7f"", ""47c38818e4f6fe169e436aae1d5d7c8dd0b7fbae6a43d7041ef5d7da7292e964"", ""2b1a872d08adf4dae18780d39c3bb3b6a633aff19b57e0eb4a78a70cea406546""]"
fe4s4-prefix-0100,8388d0e2a075126004890ad88c3680722226870440793d7d97242885ebfc7eda,10000,100,100,amd-l4-default,gpu,3,2.8257592849986395,2.8330854079977144,2.8404115309967892,2.9042099969992705,0.07112458900155616,2.968008463001752,1.44194,amd-l4-default,1.9834842404051707,"[""17e441c1533540b70cc0cbe73299b02f7941e2db8d1107b82f1b796123fa5b36"", ""1828d00372451f8eed4e72f9b7618f1ea567f653f0649955db96b3c730392530"", ""db2fd96b503d553e02bbd35e981f2e0c1019ed2f4ac603b664b7a5e8a551ac23""]"
fe4s4-prefix-0174,b4c93c6609f07ed1321fab96ec8683bd081fbfb8bd8682e97882a624a0ec6e77,30276,174,174,amd-cpu-16,cpu,3,29.96792640900094,29.968465580001066,29.969004751001194,29.969841332003853,0.0013757520027866121,29.97067791300651,28.222131,amd-l4-default,3.4145673588325436,"[""a618280b1095aa1a879e8464877c7bb17f9ee0026f3fe2a5dba71822171ec9ce"", ""72d9ccb479bf5b08848e2ed58e403ab1f019fa2f4184bdb45f81e21df2de558f"", ""d9c7fa3c1087bd7d2da569a80803ed1313da2b42ddd302b61876387828a2dfcf""]"
fe4s4-prefix-0174,b4c93c6609f07ed1321fab96ec8683bd081fbfb8bd8682e97882a624a0ec6e77,30276,174,174,amd-l4-default,gpu,3,8.77523887999996,8.776023826500023,8.776808773000084,8.782758504501544,0.006734678001521388,8.788708236003004,7.245461,amd-l4-default,3.4145673588325436,"[""f8061e07c0be9a2a0dc834b4f1e8bd4eff5b91ce2585374c02bb56c0f6945196"", ""36681c01f7984b94d63ba440ab7f22e2bd94707f838c4369380f9801b45b684a"", ""b8463cd42b6ac55dacdc5abac5e9affc0e65c84a59dd084467ef3ce085673ca7""]"
fe4s4-prefix-0244,cca24426f5786ff5b669dd5de6a90a6a813dc9d6f72e5a787156b707db549e03,59536,244,244,amd-cpu-16,cpu,3,78.31708765999792,78.35903298049743,78.40097830099694,78.51521285799754,0.15617987750010798,78.62944741499814,75.799548,amd-l4-default,4.542081714297355,"[""18eec5181ee67326db2ebe31045cb90612c516eb73cfa75094b803c43e54a868"", ""cd0fdd6068cb653f83090725dc598e16ed902e1d0425fac8e3638dfdccb126f6"", ""59b9121a07f1615d994aedf7c68b836687b0eb1ad1e262a5d1a9a79a1e4d52c8""]"
fe4s4-prefix-0244,cca24426f5786ff5b669dd5de6a90a6a813dc9d6f72e5a787156b707db549e03,59536,244,244,amd-l4-default,gpu,3,17.16303656299715,17.212029931499274,17.261023300001398,17.27515954950286,0.06312961800358607,17.28929579900432,15.506356,amd-l4-default,4.542081714297355,"[""d844fde93f05fe4bc4904139680868b4975fdf90f53e8e2e94ab73d0191b2af9"", ""59d3cbb3055441d0d7168152439e2498c621d47c40ce248ed863243e538039ad"", ""f304cde049ba0b9a8dd4a4598e3b2597b47dad11c306546a1a8753b8ad54b195""]"
