problem_instance,input_sha256,n_configurations,repetition,trial_id,raw_sha256,peak_gpu_memory_mib,estimated_gpu_known_mib,estimated_gpu_guard_mib,gpu_admission_cap_mib,status,correct,timeout,oom,skip_reason
fe4s4-prefix-0100,8388d0e2a075126004890ad88c3680722226870440793d7d97242885ebfc7eda,10000,0,17e441c1533540b70cc0cbe73299b02f7941e2db8d1107b82f1b796123fa5b36,4c7c58a95224d50b5c294c2eb90cca8245ab5940126b90d795756fd621e0801d,194.0,2.2902603149414062,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0100,8388d0e2a075126004890ad88c3680722226870440793d7d97242885ebfc7eda,10000,1,1828d00372451f8eed4e72f9b7618f1ea567f653f0649955db96b3c730392530,cba3409b2a45f31418c339b79daa2ff453c5a9e5af0c23c1a6f9a60bdaac1a16,194.0,2.2902603149414062,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0055,9e7200c65761a843b0d95d70dc1680653805434675077bb83579fcfa0852bba7,3025,0,26e34d766211ea7fffb19b527451db1d4e0e2fec45fc802a620584d36f0c94c5,cc1dd71274b8cb7df67646695e60571d6e6798b0a53ee22900ee8231e0cf837b,194.0,1.9179611206054688,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0055,9e7200c65761a843b0d95d70dc1680653805434675077bb83579fcfa0852bba7,3025,4,3242dcd76554d7c4a5771d59336b4ae5566bc9918edcada17184593dca344522,807cc5a1b2266d87df780c5de42759c0de4a5a3757034f0ab60ad411df8f0fc9,194.0,1.9179611206054688,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0174,b4c93c6609f07ed1321fab96ec8683bd081fbfb8bd8682e97882a624a0ec6e77,30276,1,36681c01f7984b94d63ba440ab7f22e2bd94707f838c4369380f9801b45b684a,daddf7e41c12975c6a09ff9d9924104b37e76f24a6129daf4eb4389c0121cd8b,196.0,3.3748092651367188,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0055,9e7200c65761a843b0d95d70dc1680653805434675077bb83579fcfa0852bba7,3025,3,3e678c24f0557fc0944c95780b793b32d2ad68a8ee3d842fb1db37ad16ea494a,c513ab51482a02065ba9f374c806656bfbe7fe1403f95efaee366c92b5be7f16,194.0,1.9179611206054688,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0244,cca24426f5786ff5b669dd5de6a90a6a813dc9d6f72e5a787156b707db549e03,59536,1,59d3cbb3055441d0d7168152439e2498c621d47c40ce248ed863243e538039ad,ecbf049f82a7044fe9ccf655f243532d90aa3cda13c46e2d1a1a583d6d55703e,198.0,4.939064025878906,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0032,f103fd51dd08c7654df2db110936ac379bd103b817b518083fa50ae85cc66390,1024,0,6bd677d64c28fdab2b1199ebdc0d85cb655d6e1a91ffbc0a77298bf5e9e4fee8,0dc2faf9d5d2b51f9dd6216a08d250cc202a362a83cd129027003236e19e6aa7,194.0,1.8137283325195312,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0032,f103fd51dd08c7654df2db110936ac379bd103b817b518083fa50ae85cc66390,1024,2,8087a3105880ca163d7ebda8fa4893be8dcb3f4c77b1cd7dd9639553bd50f829,4e1c1f454719f33fb38b804419c0491fb86176d65f77624d8c2c53720391d881,194.0,1.8137283325195312,576.0,18051.199999809265,success,True,False,False,
fe4s4-prefix-0032,f103fd51dd08c7654df2db110936ac379bd103b817b518083fa50ae85cc66390,1024,1,82ebcc264c25541f0a13ba78c4e1ba3fd63fc78df7334b1c1fce1fe53d5cefaa,fe6713f253c085e1edc9c4215ff844a9fc0e06c9132e36c1d0ea619433f9fa32,194.0,1.8137283325195312,576.0,18051.199999809265,success,True,False,False,
